SITE_TYPE,SITECODE,NAME,VARIABLE,VALUE,LABEL,SCORE,DATA_SRCE
ASSI,ASSI207,Kilnameel,Current agircultural emission density (kg NH3/ha/yr),1.78079930967345,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI078,Kilroosky Lough,Current agircultural emission density (kg NH3/ha/yr),7.695041674982,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI031,Kiltubbrid Loughs,Current agircultural emission density (kg NH3/ha/yr),24.8273556498655,Very high agricultural emissions,4,Agricultural ammonia emissions
ASSI,ASSI275,Kirlish,Current agircultural emission density (kg NH3/ha/yr),21.3304390723796,Very high agricultural emissions,4,Agricultural ammonia emissions
ASSI,ASSI391,Knock Dhu Sallagh Braes,Current agircultural emission density (kg NH3/ha/yr),10.8830809243687,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI410,Knockadoo Wood,Current agircultural emission density (kg NH3/ha/yr),30.9611353657448,Very high agricultural emissions,4,Agricultural ammonia emissions
ASSI,ASSI014,Knockballymore Lough,Current agircultural emission density (kg NH3/ha/yr),14.5684903865436,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI307,Knocknacloy,Current agircultural emission density (kg NH3/ha/yr),77.2452052586379,Very high agricultural emissions,4,Agricultural ammonia emissions
ASSI,ASSI297,Knocknashangan,Current agircultural emission density (kg NH3/ha/yr),6.73409114283669,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI166,Knockninny Hill,Current agircultural emission density (kg NH3/ha/yr),15.6963289175233,High agricultural emissions,3,Agricultural ammonia emissions
ASSI,ASSI037,Lackan Bog,Current agircultural emission density (kg NH3/ha/yr),20.9757195748144,Very high agricultural emissions,4,Agricultural ammonia emissions
ASSI,ASSI111,Largalinny,Current agircultural emission density (kg NH3/ha/yr),8.30010625643879,Moderate agricultural emissions,2,Agricultural ammonia emissions
SAC,UK0030045,Largalinny,Current agircultural emission density (kg NH3/ha/yr),8.30010625643879,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI106,Larne Lough,Current agircultural emission density (kg NH3/ha/yr),14.774245899859,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI169,Leathemstown,Current agircultural emission density (kg NH3/ha/yr),9.90927962139833,Moderate agricultural emissions,2,Agricultural ammonia emissions
SAC,UK0030180,Lecale Fens,Current agircultural emission density (kg NH3/ha/yr),14.3738069019489,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI019,Lergan,Current agircultural emission density (kg NH3/ha/yr),6.42945703335853,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI214,Levallymore,Current agircultural emission density (kg NH3/ha/yr),19.3374167591515,High agricultural emissions,3,Agricultural ammonia emissions
ASSI,ASSI323,Little Deer Park,Current agircultural emission density (kg NH3/ha/yr),9.02510260732615,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI353,Lough Anierin,Current agircultural emission density (kg NH3/ha/yr),4.59853745907037,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI027,Lough Beg,Current agircultural emission density (kg NH3/ha/yr),17.7034688346399,High agricultural emissions,3,Agricultural ammonia emissions
ASSI,ASSI294,Lough Corr,Current agircultural emission density (kg NH3/ha/yr),2.82927191921361,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI354,Lough Cowey,Current agircultural emission density (kg NH3/ha/yr),14.8297768261572,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI051,Lough Foyle,Current agircultural emission density (kg NH3/ha/yr),4.65413789113398,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI295,Lough Gullion,Current agircultural emission density (kg NH3/ha/yr),18.1825136247378,High agricultural emissions,3,Agricultural ammonia emissions
ASSI,ASSI407,Lough Lark,Current agircultural emission density (kg NH3/ha/yr),1.63770583458766,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI348,Lough Macrory,Current agircultural emission density (kg NH3/ha/yr),9.40313223372693,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI261,Lough McCall,Current agircultural emission density (kg NH3/ha/yr),15.6859606866287,High agricultural emissions,3,Agricultural ammonia emissions
ASSI,ASSI140,Lough Melvin,Current agircultural emission density (kg NH3/ha/yr),3.30889030682467,Low agricultural emissions,1,Agricultural ammonia emissions
SAC,UK0030047,Lough Melvin,Current agircultural emission density (kg NH3/ha/yr),3.42304638048003,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI359,Lough Naman Bog and Lake,Current agircultural emission density (kg NH3/ha/yr),2.28574123306481,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI270,Lough Navar Scarps and Lakes,Current agircultural emission density (kg NH3/ha/yr),3.2690443951848,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI030,Lough Neagh,Current agircultural emission density (kg NH3/ha/yr),8.25886423172144,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI262,Lough na blaney bane,Current agircultural emission density (kg NH3/ha/yr),3.98911610970079,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI206,Loughaveely,Current agircultural emission density (kg NH3/ha/yr),14.8935118384789,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI039,Loughkeelan,Current agircultural emission density (kg NH3/ha/yr),23.6215985348319,Very high agricultural emissions,4,Agricultural ammonia emissions
ASSI,ASSI159,Loughmoney,Current agircultural emission density (kg NH3/ha/yr),13.1358125848651,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI204,Lurgan Lough,Current agircultural emission density (kg NH3/ha/yr),17.9543684080045,High agricultural emissions,3,Agricultural ammonia emissions
SAC,UK0016621,Magheraveely Marl Loughs,Current agircultural emission density (kg NH3/ha/yr),10.8379735363665,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI068,Magilligan,Current agircultural emission density (kg NH3/ha/yr),4.35024570052775,Low agricultural emissions,1,Agricultural ammonia emissions
SAC,UK0016613,Magilligan,Current agircultural emission density (kg NH3/ha/yr),4.35024584772151,Low agricultural emissions,1,Agricultural ammonia emissions
SAC,UK0030199,Main Valley Bogs,Current agircultural emission density (kg NH3/ha/yr),38.0783341125076,Very high agricultural emissions,4,Agricultural ammonia emissions
ASSI,ASSI375,Marlbank,Current agircultural emission density (kg NH3/ha/yr),5.6740609929173,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI128,McKean's Moss,Current agircultural emission density (kg NH3/ha/yr),14.0471918727074,Moderate agricultural emissions,2,Agricultural ammonia emissions
