SITE_TYPE,NAME,SITECODE,DepType,VARIABLE,VALUE,SCORE,LABEL,DATA_SRCE
ASSI,The Cliffs of Magho,ASSI191,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),3.12127843376208,1,Low,N Futures (2016 - 2018 baseline)
ASSI,The Cliffs of Magho,ASSI191,Woodland,Excess Nitrogen (kg N ha-1 yr-1),8.37292267903838,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Castletown,ASSI193,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),0,0,No exceedance,N Futures (2016 - 2018 baseline)
ASSI,Ballyknock,ASSI194,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),15.5661171776549,3,High,N Futures (2016 - 2018 baseline)
ASSI,Silverbrook Wood,ASSI195,Woodland,Excess Nitrogen (kg N ha-1 yr-1),22.8318962077454,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Grange Wood,ASSI196,Woodland,Excess Nitrogen (kg N ha-1 yr-1),28.5110816955566,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Corbylin Wood,ASSI197,Woodland,Excess Nitrogen (kg N ha-1 yr-1),25.5937592860738,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Slieve Gullion,ASSI198,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),15.4175154043764,3,High,N Futures (2016 - 2018 baseline)
ASSI,West Fermanagh Scarplands,ASSI201,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),4.38138131049932,1,Low,N Futures (2016 - 2018 baseline)
ASSI,West Fermanagh Scarplands,ASSI201,Woodland,Excess Nitrogen (kg N ha-1 yr-1),10.3471717188781,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Giant's Causeway and Dunseverick,ASSI202,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),8.5982476683484,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Lurgan Lough,ASSI204,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),16.3227281107372,3,High,N Futures (2016 - 2018 baseline)
ASSI,Drumlougher Lough,ASSI205,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),19.3915981015851,3,High,N Futures (2016 - 2018 baseline)
ASSI,Loughaveely,ASSI206,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),16.2844710835796,3,High,N Futures (2016 - 2018 baseline)
ASSI,Kilnameel,ASSI207,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),0,0,No exceedance,N Futures (2016 - 2018 baseline)
ASSI,Bann Estuary,ASSI208,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),4.32754883959306,1,Low,N Futures (2016 - 2018 baseline)
ASSI,Moneygal Bog Part II,ASSI209,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),13.4492065443827,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Peatlands Park,ASSI210,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),15.981377147412,3,High,N Futures (2016 - 2018 baseline)
ASSI,Peatlands Park,ASSI210,Woodland,Excess Nitrogen (kg N ha-1 yr-1),33.3407111914667,4,Very High,N Futures (2016 - 2018 baseline)
